"Test-Sensitivity","Test-Specificity","Test-Pos Pred Value","Test-Neg Pred Value","Test-Precision","Test-Recall","Test-F1","Test-Prevalence","Test-Detection Rate","Test-Detection Prevalence","Test-Balanced Accuracy","Test-Accuracy"
0.914893617021277,0.735849056603774,0.754385964912281,0.906976744186047,0.754385964912281,0.914893617021277,0.826923076923077,0.47,0.43,0.57,0.825371336812525,0.82
0.854545454545454,0.777777777777778,0.824561403508772,0.813953488372093,0.824561403508772,0.854545454545454,0.839285714285714,0.55,0.47,0.57,0.816161616161616,0.82
0.73469387755102,0.745098039215686,0.73469387755102,0.745098039215686,0.73469387755102,0.73469387755102,0.73469387755102,0.49,0.36,0.49,0.739895958383353,0.74
0.826086956521739,0.796296296296296,0.775510204081633,0.843137254901961,0.775510204081633,0.826086956521739,0.8,0.46,0.38,0.49,0.811191626409018,0.81
0.810344827586207,0.761904761904762,0.824561403508772,0.744186046511628,0.824561403508772,0.810344827586207,0.817391304347826,0.58,0.47,0.57,0.786124794745484,0.79
0.803921568627451,0.653061224489796,0.706896551724138,0.761904761904762,0.706896551724138,0.803921568627451,0.752293577981651,0.51,0.41,0.58,0.728491396558623,0.73
0.934782608695652,0.759259259259259,0.767857142857143,0.931818181818182,0.767857142857143,0.934782608695652,0.843137254901961,0.46,0.43,0.56,0.847020933977456,0.84
0.796296296296296,0.608695652173913,0.704918032786885,0.717948717948718,0.704918032786885,0.796296296296296,0.747826086956522,0.54,0.43,0.61,0.702495974235105,0.71
0.740740740740741,0.739130434782609,0.769230769230769,0.708333333333333,0.769230769230769,0.740740740740741,0.754716981132075,0.54,0.4,0.52,0.739935587761675,0.74
0.796296296296296,0.695652173913043,0.754385964912281,0.744186046511628,0.754385964912281,0.796296296296296,0.774774774774775,0.54,0.43,0.57,0.74597423510467,0.75
0.944444444444444,0.565217391304348,0.71830985915493,0.896551724137931,0.71830985915493,0.944444444444444,0.816,0.54,0.51,0.71,0.754830917874396,0.77
0.795918367346939,0.725490196078431,0.735849056603774,0.787234042553192,0.735849056603774,0.795918367346939,0.764705882352941,0.49,0.39,0.53,0.760704281712685,0.76
0.823529411764706,0.755102040816326,0.777777777777778,0.804347826086956,0.777777777777778,0.823529411764706,0.8,0.51,0.42,0.54,0.789315726290516,0.79
0.849056603773585,0.765957446808511,0.803571428571429,0.818181818181818,0.803571428571429,0.849056603773585,0.825688073394495,0.53,0.45,0.56,0.807507025291048,0.81
0.87037037037037,0.695652173913043,0.770491803278689,0.82051282051282,0.770491803278688,0.87037037037037,0.817391304347826,0.54,0.47,0.61,0.783011272141707,0.79
0.717391304347826,0.740740740740741,0.702127659574468,0.754716981132076,0.702127659574468,0.717391304347826,0.709677419354839,0.46,0.33,0.47,0.729066022544283,0.73
0.854166666666667,0.615384615384615,0.672131147540984,0.82051282051282,0.672131147540984,0.854166666666667,0.752293577981651,0.48,0.41,0.61,0.734775641025641,0.73
0.854166666666667,0.673076923076923,0.706896551724138,0.833333333333333,0.706896551724138,0.854166666666667,0.773584905660377,0.48,0.41,0.58,0.763621794871795,0.76
0.818181818181818,0.666666666666667,0.75,0.75,0.75,0.818181818181818,0.782608695652174,0.55,0.45,0.6,0.742424242424242,0.75
0.767857142857143,0.840909090909091,0.86,0.74,0.86,0.767857142857143,0.811320754716981,0.56,0.43,0.5,0.804383116883117,0.8
0.844444444444444,0.654545454545455,0.666666666666667,0.837209302325581,0.666666666666667,0.844444444444444,0.745098039215686,0.45,0.38,0.57,0.749494949494949,0.74
0.857142857142857,0.686274509803922,0.724137931034483,0.833333333333333,0.724137931034483,0.857142857142857,0.785046728971963,0.49,0.42,0.58,0.771708683473389,0.77
0.842105263157895,0.790697674418605,0.842105263157895,0.790697674418605,0.842105263157895,0.842105263157895,0.842105263157895,0.57,0.48,0.57,0.81640146878825,0.82
0.739130434782609,0.685185185185185,0.666666666666667,0.755102040816326,0.666666666666667,0.739130434782609,0.701030927835051,0.46,0.34,0.51,0.712157809983897,0.71
0.936170212765957,0.716981132075472,0.745762711864407,0.926829268292683,0.745762711864407,0.936170212765957,0.830188679245283,0.47,0.44,0.59,0.826575672420715,0.82
0.8,0.672727272727273,0.666666666666667,0.804347826086957,0.666666666666667,0.8,0.727272727272727,0.45,0.36,0.54,0.736363636363636,0.73
0.9,0.816666666666667,0.765957446808511,0.924528301886792,0.765957446808511,0.9,0.827586206896552,0.4,0.36,0.47,0.858333333333333,0.85
0.8,0.866666666666667,0.88,0.78,0.88,0.8,0.838095238095238,0.55,0.44,0.5,0.833333333333333,0.83
0.716981132075472,0.808510638297872,0.808510638297872,0.716981132075472,0.808510638297872,0.716981132075472,0.76,0.53,0.38,0.47,0.762745885186672,0.76
0.833333333333333,0.695652173913043,0.76271186440678,0.780487804878049,0.76271186440678,0.833333333333333,0.79646017699115,0.54,0.45,0.59,0.764492753623188,0.77
0.862068965517241,0.69047619047619,0.793650793650794,0.783783783783784,0.793650793650794,0.862068965517241,0.826446280991735,0.58,0.5,0.63,0.776272577996716,0.79
0.851851851851852,0.695652173913043,0.766666666666667,0.8,0.766666666666667,0.851851851851852,0.807017543859649,0.54,0.46,0.6,0.773752012882448,0.78
0.9,0.666666666666667,0.642857142857143,0.909090909090909,0.642857142857143,0.9,0.75,0.4,0.36,0.56,0.783333333333333,0.76
0.795918367346939,0.784313725490196,0.78,0.8,0.78,0.795918367346939,0.787878787878788,0.49,0.39,0.5,0.790116046418567,0.79
0.854166666666667,0.788461538461538,0.788461538461538,0.854166666666667,0.788461538461538,0.854166666666667,0.82,0.48,0.41,0.52,0.821314102564103,0.82
0.901960784313726,0.693877551020408,0.754098360655738,0.871794871794872,0.754098360655738,0.901960784313726,0.821428571428572,0.51,0.46,0.61,0.797919167667067,0.8
0.851851851851852,0.695652173913043,0.766666666666667,0.8,0.766666666666667,0.851851851851852,0.807017543859649,0.54,0.46,0.6,0.773752012882448,0.78
0.849056603773585,0.595744680851064,0.703125,0.777777777777778,0.703125,0.849056603773585,0.769230769230769,0.53,0.45,0.64,0.722400642312324,0.73
0.936170212765957,0.716981132075472,0.745762711864407,0.926829268292683,0.745762711864407,0.936170212765957,0.830188679245283,0.47,0.44,0.59,0.826575672420715,0.82
0.78,0.66,0.696428571428571,0.75,0.696428571428571,0.78,0.735849056603774,0.5,0.39,0.56,0.72,0.72
0.807017543859649,0.790697674418605,0.836363636363636,0.755555555555556,0.836363636363636,0.807017543859649,0.821428571428571,0.57,0.46,0.55,0.798857609139127,0.8
0.854166666666667,0.711538461538462,0.732142857142857,0.840909090909091,0.732142857142857,0.854166666666667,0.788461538461538,0.48,0.41,0.56,0.782852564102564,0.78
0.808510638297872,0.754716981132076,0.745098039215686,0.816326530612245,0.745098039215686,0.808510638297872,0.775510204081633,0.47,0.38,0.51,0.781613809714974,0.78
