"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged","Test Accuracy"
0.903448275862069,0.87741935483871,0.873333333333333,0.906666666666667,0.873333333333333,0.903448275862069,0.888135593220339,0.483333333333333,0.436666666666667,0.5,0.890433815350389,0.89,328.375867018123,1,0.68
1,1,1,1,1,1,1,0.49,0.49,0.49,1,1,184.00000029657,0,0.8
0.926174496644295,0.880794701986755,0.884615384615384,0.923611111111111,0.884615384615385,0.926174496644295,0.904918032786885,0.496666666666667,0.46,0.52,0.903484599315525,0.903333333333333,316.59799583953,1,0.7
1,1,1,1,1,1,1,0.506666666666667,0.506666666666667,0.506666666666667,1,1,184.000000125842,0,0.75
1,1,1,1,1,1,1,0.493333333333333,0.493333333333333,0.493333333333333,1,1,184.000000048262,0,0.65
1,1,1,1,1,1,1,0.496666666666667,0.496666666666667,0.496666666666667,1,1,184.000000106897,0,0.77
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,184.000000097113,0,0.7
1,1,1,1,1,1,1,0.483333333333333,0.483333333333333,0.483333333333333,1,1,184.0000000371,0,0.73
0.869281045751634,0.836734693877551,0.847133757961783,0.86013986013986,0.847133757961783,0.869281045751634,0.858064516129032,0.51,0.443333333333333,0.523333333333333,0.853007869814593,0.853333333333333,3355.84149824231,1,0.69
0.871794871794872,0.895833333333333,0.900662251655629,0.865771812080537,0.900662251655629,0.871794871794872,0.885993485342019,0.52,0.453333333333333,0.503333333333333,0.883814102564103,0.883333333333333,2707.0557372382,0,0.74
1,1,1,1,1,1,1,0.493333333333333,0.493333333333333,0.493333333333333,1,1,184.000000229232,0,0.66
1,1,1,1,1,1,1,0.473333333333333,0.473333333333333,0.473333333333333,1,1,184.000000175474,0,0.73
0.91025641025641,0.826388888888889,0.850299401197605,0.894736842105263,0.850299401197605,0.91025641025641,0.879256965944272,0.52,0.473333333333333,0.556666666666667,0.868322649572649,0.87,2995.40496435114,0,0.65
1,1,1,1,1,1,1,0.52,0.52,0.52,1,1,184.000000093468,0,0.75
0.89261744966443,0.867549668874172,0.869281045751634,0.891156462585034,0.869281045751634,0.89261744966443,0.880794701986755,0.496666666666667,0.443333333333333,0.51,0.880083559269301,0.88,2779.14304401644,1,0.7
1,1,1,1,1,1,1,0.49,0.49,0.49,1,1,184.000000209165,0,0.84
1,1,1,1,1,1,1,0.513333333333333,0.513333333333333,0.513333333333333,1,1,184.000000041714,0,0.79
0.916129032258065,0.924137931034483,0.928104575163399,0.91156462585034,0.928104575163399,0.916129032258065,0.922077922077922,0.516666666666667,0.473333333333333,0.51,0.920133481646274,0.92,319.722376339996,1,0.73
0.865771812080537,0.860927152317881,0.86,0.866666666666667,0.86,0.865771812080537,0.862876254180602,0.496666666666667,0.43,0.5,0.863349482199209,0.863333333333333,3139.57957790761,1,0.68
0.901315789473684,0.858108108108108,0.867088607594937,0.894366197183099,0.867088607594937,0.901315789473684,0.883870967741935,0.506666666666667,0.456666666666667,0.526666666666667,0.879711948790896,0.88,326.400851112578,1,0.67
0.896103896103896,0.842465753424658,0.857142857142857,0.884892086330935,0.857142857142857,0.896103896103896,0.876190476190476,0.513333333333333,0.46,0.536666666666667,0.869284824764277,0.87,2995.40496435114,1,0.72
1,1,1,1,1,1,1,0.496666666666667,0.496666666666667,0.496666666666667,1,1,184.000000259362,0,0.72
1,1,1,1,1,1,1,0.52,0.52,0.52,1,1,184.00000022475,0,0.73
0.875,0.844594594594595,0.852564102564103,0.868055555555555,0.852564102564103,0.875,0.863636363636364,0.506666666666667,0.443333333333333,0.52,0.859797297297297,0.86,3211.66688468584,0,0.75
0.862745098039216,0.897959183673469,0.897959183673469,0.862745098039216,0.897959183673469,0.862745098039216,0.88,0.51,0.44,0.49,0.880352140856343,0.88,2779.14304401644,1,0.7
0.923611111111111,0.923076923076923,0.917241379310345,0.929032258064516,0.917241379310345,0.923611111111111,0.920415224913495,0.48,0.443333333333333,0.483333333333333,0.923344017094017,0.923333333333333,316.023555255301,1,0.69
1,1,1,1,1,1,1,0.513333333333333,0.513333333333333,0.513333333333333,1,1,184.000000230395,0,0.76
1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,184.000000052251,0,0.81
0.908450704225352,0.924050632911392,0.914893617021277,0.918238993710692,0.914893617021277,0.908450704225352,0.911660777385159,0.473333333333333,0.43,0.47,0.916250668568372,0.916666666666667,326.028241570542,1,0.69
