"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged"
0.935,0.915,0.916666666666667,0.933673469387755,0.916666666666667,0.935,0.925742574257426,0.5,0.4675,0.51,0.925,0.925,372.436540931971,1
0.915,0.905,0.905940594059406,0.914141414141414,0.905940594059406,0.915,0.91044776119403,0.5,0.4575,0.505,0.91,0.91,354.465600761437,1
0.95,0.935,0.935960591133005,0.949238578680203,0.935960591133005,0.95,0.942928039702233,0.5,0.475,0.5075,0.9425,0.9425,344.903176364184,1
0.96,0.915,0.91866028708134,0.958115183246073,0.91866028708134,0.96,0.938875305623472,0.5,0.48,0.5225,0.9375,0.9375,318.176993507347,1
0.925,0.91,0.911330049261084,0.923857868020305,0.911330049261084,0.925,0.918114143920595,0.5,0.4625,0.5075,0.9175,0.9175,365.83872107555,1
0.9,0.895,0.895522388059702,0.899497487437186,0.895522388059702,0.9,0.897755610972569,0.5,0.45,0.5025,0.8975,0.8975,382.375702118049,1
0.885,0.89,0.889447236180904,0.885572139303483,0.889447236180904,0.885,0.887218045112782,0.5,0.4425,0.4975,0.8875,0.8875,397.375918636713,1
0.93,0.905,0.907317073170732,0.928205128205128,0.907317073170732,0.93,0.918518518518519,0.5,0.465,0.5125,0.9175,0.9175,362.199774887842,1
0.925,0.895,0.898058252427185,0.922680412371134,0.898058252427185,0.925,0.911330049261084,0.5,0.4625,0.515,0.91,0.91,383.920367200495,1
0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.5,0.465,0.5,0.93,0.93,353.498904578151,1
0.915,0.92,0.919597989949749,0.915422885572139,0.919597989949749,0.915,0.917293233082707,0.5,0.4575,0.4975,0.9175,0.9175,396.188164506115,1
0.92,0.935,0.934010152284264,0.921182266009852,0.934010152284264,0.92,0.926952141057935,0.5,0.46,0.4925,0.9275,0.9275,371.055394617106,1
0.925,0.91,0.911330049261084,0.923857868020305,0.911330049261084,0.925,0.918114143920595,0.5,0.4625,0.5075,0.9175,0.9175,370.769623062449,1
0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.5,0.465,0.5,0.93,0.93,375.283414469719,1
0.92,0.895,0.897560975609756,0.917948717948718,0.897560975609756,0.92,0.908641975308642,0.5,0.46,0.5125,0.9075,0.9075,376.33050996009,1
0.905,0.915,0.914141414141414,0.905940594059406,0.914141414141414,0.905,0.909547738693467,0.5,0.4525,0.495,0.91,0.91,404.5162716382,1
0.895,0.88,0.881773399014778,0.893401015228426,0.881773399014778,0.895,0.88833746898263,0.5,0.4475,0.5075,0.8875,0.8875,418.655873773168,1
