"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged"
0.655,0.715,0.696808510638298,0.674528301886792,0.696808510638298,0.655,0.675257731958763,0.5,0.3275,0.47,0.685,0.685,552.729687249032,1
0.65,0.705,0.687830687830688,0.66824644549763,0.687830687830688,0.65,0.668380462724936,0.5,0.325,0.4725,0.6775,0.6775,566.264019825469,1
0.625,0.715,0.686813186813187,0.655963302752294,0.686813186813187,0.625,0.654450261780105,0.5,0.3125,0.455,0.67,0.67,561.746624602232,1
0.58,0.65,0.623655913978495,0.607476635514019,0.623655913978495,0.58,0.601036269430052,0.5,0.29,0.465,0.615,0.615,568.967707857392,1
0.655,0.705,0.689473684210526,0.671428571428571,0.689473684210526,0.655,0.671794871794872,0.5,0.3275,0.475,0.68,0.68,567.128619363547,1
0.695,0.715,0.709183673469388,0.700980392156863,0.709183673469388,0.695,0.702020202020202,0.5,0.3475,0.49,0.705,0.705,565.869642755447,1
0.615,0.71,0.679558011049724,0.648401826484018,0.679558011049724,0.615,0.645669291338583,0.5,0.3075,0.4525,0.6625,0.6625,567.401693427592,1
0.675,0.68,0.678391959798995,0.676616915422886,0.678391959798995,0.675,0.676691729323308,0.5,0.3375,0.4975,0.6775,0.6775,546.973648450357,1
0.59,0.665,0.637837837837838,0.618604651162791,0.637837837837838,0.59,0.612987012987013,0.5,0.295,0.4625,0.6275,0.6275,583.23723862318,1
0.67,0.69,0.683673469387755,0.676470588235294,0.683673469387755,0.67,0.676767676767677,0.5,0.335,0.49,0.68,0.68,567.582645162621,1
0.64,0.715,0.691891891891892,0.665116279069767,0.691891891891892,0.64,0.664935064935065,0.5,0.32,0.4625,0.6775,0.6775,557.762374664347,1
0.59,0.69,0.655555555555556,0.627272727272727,0.655555555555556,0.59,0.621052631578947,0.5,0.295,0.45,0.64,0.64,569.603845392079,1
0.65,0.72,0.698924731182796,0.672897196261682,0.698924731182796,0.65,0.673575129533679,0.5,0.325,0.465,0.685,0.685,550.199838531636,1
0.61,0.67,0.648936170212766,0.632075471698113,0.648936170212766,0.61,0.628865979381443,0.5,0.305,0.47,0.64,0.64,582.597688403391,1
0.625,0.665,0.651041666666667,0.639423076923077,0.651041666666667,0.625,0.637755102040816,0.5,0.3125,0.48,0.645,0.645,568.132389386049,1
0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.5,0.3275,0.5,0.655,0.655,555.520788854409,1
0.675,0.68,0.678391959798995,0.676616915422886,0.678391959798995,0.675,0.676691729323308,0.5,0.3375,0.4975,0.6775,0.6775,553.321497213253,1
0.585,0.68,0.646408839779006,0.621004566210046,0.646408839779006,0.585,0.614173228346457,0.5,0.2925,0.4525,0.6325,0.6325,588.379416086484,1
0.64,0.695,0.677248677248677,0.658767772511848,0.677248677248677,0.64,0.658097686375321,0.5,0.32,0.4725,0.6675,0.6675,571.602335088897,1
0.64,0.665,0.656410256410256,0.648780487804878,0.656410256410256,0.64,0.648101265822785,0.5,0.32,0.4875,0.6525,0.6525,573.201293294665,1
0.665,0.695,0.685567010309278,0.674757281553398,0.685567010309278,0.665,0.6751269035533,0.5,0.3325,0.485,0.68,0.68,554.754749359264,1
0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.5,0.3275,0.5,0.655,0.655,581.794162911916,1
0.63,0.635,0.633165829145729,0.631840796019901,0.633165829145729,0.63,0.631578947368421,0.5,0.315,0.4975,0.6325,0.6325,578.781468867899,1
0.66,0.715,0.698412698412698,0.677725118483412,0.698412698412698,0.66,0.67866323907455,0.5,0.33,0.4725,0.6875,0.6875,555.85714086046,1
0.59,0.695,0.659217877094972,0.6289592760181,0.659217877094972,0.59,0.622691292875989,0.5,0.295,0.4475,0.6425,0.6425,582.627911020089,1
0.695,0.645,0.661904761904762,0.678947368421053,0.661904761904762,0.695,0.678048780487805,0.5,0.3475,0.525,0.67,0.67,566.200066105124,1
0.58,0.705,0.662857142857143,0.626666666666667,0.662857142857143,0.58,0.618666666666667,0.5,0.29,0.4375,0.6425,0.6425,575.473411472843,1
0.625,0.62,0.621890547263682,0.623115577889447,0.621890547263682,0.625,0.623441396508728,0.5,0.3125,0.5025,0.6225,0.6225,594.484014232284,1
0.605,0.665,0.643617021276596,0.627358490566038,0.643617021276596,0.605,0.623711340206185,0.5,0.3025,0.47,0.635,0.635,584.337950644343,1
0.63,0.685,0.666666666666667,0.649289099526066,0.666666666666667,0.63,0.647814910025707,0.5,0.315,0.4725,0.6575,0.6575,573.467662948774,1
0.655,0.64,0.645320197044335,0.649746192893401,0.645320197044335,0.655,0.650124069478908,0.5,0.3275,0.5075,0.6475,0.6475,558.422140151829,1
0.65,0.68,0.670103092783505,0.660194174757282,0.670103092783505,0.65,0.65989847715736,0.5,0.325,0.485,0.665,0.665,565.180497465207,1
0.63,0.605,0.614634146341464,0.620512820512821,0.614634146341463,0.63,0.622222222222222,0.5,0.315,0.5125,0.6175,0.6175,592.604645797382,1
0.57,0.71,0.662790697674419,0.62280701754386,0.662790697674419,0.57,0.612903225806452,0.5,0.285,0.43,0.64,0.64,594.270108537866,1
0.605,0.675,0.650537634408602,0.630841121495327,0.650537634408602,0.605,0.626943005181347,0.5,0.3025,0.465,0.64,0.64,567.486516485415,1
0.61,0.7,0.67032967032967,0.642201834862385,0.67032967032967,0.61,0.638743455497382,0.5,0.305,0.455,0.655,0.655,569.918541920868,1
0.62,0.66,0.645833333333333,0.634615384615385,0.645833333333333,0.62,0.63265306122449,0.5,0.31,0.48,0.64,0.64,575.562494493973,1
0.665,0.64,0.648780487804878,0.656410256410256,0.648780487804878,0.665,0.65679012345679,0.5,0.3325,0.5125,0.6525,0.6525,564.336919301748,1
0.65,0.71,0.691489361702128,0.669811320754717,0.691489361702128,0.65,0.670103092783505,0.5,0.325,0.47,0.68,0.68,551.557730447767,1
0.63,0.725,0.696132596685083,0.662100456621005,0.696132596685083,0.63,0.661417322834646,0.5,0.315,0.4525,0.6775,0.6775,575.902125411966,1
